TIME,SALES
2016-01-01,17556700
2016-02-01,15581200
2016-03-01,22932900
2016-04-01,17916000
2016-05-01,17600100
2016-06-01,15383100
2016-07-01,12201200
2016-08-01,11513110
2016-09-01,12248120
2016-10-01,16668880
2016-11-01,16781980
2016-12-01,20084150
2017-01-01,14551080
2017-02-01,17670870
2017-03-01,23103660
2017-04-01,17547960
2017-05-01,18001550
2017-06-01,12443630
2017-07-01,11863450
2017-08-01,13529130
2017-09-01,17488300
2017-10-01,21247180
2017-11-01,23964000
2017-12-01,23349230
2018-01-01,19024000
2018-02-01,20698000
2018-03-01,31106000
2018-04-01,40068700
2018-05-01,65681600
2018-06-01,49923100
2018-07-01,38850700
2018-08-01,37476700
2018-09-01,46951760
2018-10-01,45585222
2018-11-01,45514930
2018-12-01,43159500
2019-01-01,50306000
2019-02-01,50313900
2019-03-01,54915300
2019-04-01,35587000
2019-05-01,30256900
2019-06-01,20644400
2019-07-01,14772400
