TIME,SALES_16,SALES_17,SALES_18,SALES_19
January,17556700,14551080,19024000,50306000
February,15581200,17670870,20698000,50313900
March,22932900,23103660,31106000,54915300
April,17916000,17547960,40068700,35587000
May,17600100,18001550,65681600,30256900
June,15383100,12443630,49923100,20644400
July,12201200,11863450,38850700,14772400
August,11513110,13529130,37476700,0
September,12248120,17488300,46951760,0
October,16668880,21247180,45585222,0
November,16781980,23964000,45514930,0
December,20084150,23349230,43159500,0
