TIME,SALES1,SALES2,SALES3,SALES4,SALES5,SALES6,SALES7
2019-01-01 00:00:00,1250200,2278200,1971800,1112800,1487500,1168200,605200
2019-01-02 00:00:00,1099200,2229900,2068100,1112000,1286200,873100,448400
2019-01-03 00:00:00,1470300,1102700,1879300,1142600,1255500,763400,520200
2019-01-04 00:00:00,1468100,1316300,1326800,1071700,1428100,622600,392500
2019-01-05 00:00:00,2334500,2282600,900400,1178700,1431600,713500,596200
2019-01-06 00:00:00,1507700,1662200,1218000,1584700,1485600,1101200,652500
2019-01-07 00:00:00,1355200,1853300,1190800,1972600,898300,594500,880200
2019-01-08 00:00:00,1303300,2613300,2559200,1078700,1099900,1088500,458600
2019-01-09 00:00:00,1464200,2252400,2298000,897200,783300,984800,509200
2019-01-10 00:00:00,1270100,1690300,2144600,1075200,760700,577100,345000
2019-01-11 00:00:00,1633700,1701800,1637400,1105700,1033700,625300,413700
2019-01-12 00:00:00,2301900,2444600,1090000,1213700,1170800,606500,578300
2019-01-13 00:00:00,1226400,2368100,2953000,1873500,862600,728900,648700
2019-01-14 00:00:00,1364700,1686500,4935200,1425400,1152000,536100,566900
2019-01-15 00:00:00,1073700,2635900,1624300,1183600,1281200,914000,324200
2019-01-16 00:00:00,1554600,1962400,2625100,849500,587900,813400,332400
2019-01-17 00:00:00,1509400,1821600,1934900,930900,1209000,640600,484700
2019-01-18 00:00:00,1465000,1295500,1307600,1230900,1316800,495200,527300
2019-01-19 00:00:00,2124400,1573600,1310400,1298100,897100,664900,544000
2019-01-20 00:00:00,2139900,1512900,940300,1610300,974800,591500,579400
2019-01-21 00:00:00,1672800,2130300,1462900,1176600,992600,580000,605100
2019-01-22 00:00:00,1793900,2183000,1880300,916700,894300,749200,254800
2019-01-23 00:00:00,1305000,1850400,2258700,625100,570200,712100,423000
2019-01-24 00:00:00,1533700,1657000,2165300,728500,578200,599100,349300
2019-01-25 00:00:00,1624800,1427300,1179300,725000,960800,406100,326100
2019-01-26 00:00:00,2558500,1412800,1057000,1357600,727400,383600,337400
2019-01-27 00:00:00,2134500,1369000,1231800,1767100,610800,445500,397700
2019-01-28 00:00:00,1577100,0,1052600,1062200,601500,432400,472900
2019-01-29 00:00:00,1738600,0,1332400,1209700,564500,694700,434500
2019-01-30 00:00:00,1687900,0,1599300,1070700,690500,538400,359800
2019-01-31 00:00:00,1762700,0,1780500,0,663500,0,404200
SUM,50306000,50313900,54915300,35587000,30256900,20644400,14772400
